age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,salary
39,5,13,2,8,3,0,1,40,0,1
50,1,13,0,4,2,0,1,13,0,1
38,0,9,1,6,3,0,1,40,0,1
53,0,7,0,6,2,4,1,40,0,1
28,0,13,0,5,0,4,0,40,12,1
37,0,14,0,4,0,0,0,40,0,1
49,0,5,5,2,3,4,0,16,18,1
52,1,9,0,4,2,0,1,45,0,0
31,0,14,2,5,3,0,0,50,0,0
42,0,13,0,4,2,0,1,40,0,0
37,0,10,0,4,2,4,1,80,0,0
30,5,13,0,5,2,1,1,40,7,0
23,0,13,2,8,1,0,0,30,0,1
32,0,12,2,3,3,4,1,50,0,1
34,0,4,0,10,2,2,1,45,20,1
25,1,9,2,9,1,0,1,35,0,1
32,0,9,2,7,5,0,1,40,0,1
38,0,7,0,3,2,0,1,50,0,1
43,1,14,1,4,5,0,0,45,0,0
40,0,16,0,5,2,0,1,60,0,0
54,0,9,3,2,5,4,0,20,0,1
35,3,5,0,9,2,4,1,40,0,1
43,0,7,0,10,2,0,1,40,0,1
59,0,9,1,0,5,0,0,40,0,1
56,4,13,0,0,2,0,1,40,0,0
19,0,9,2,1,1,0,1,40,0,1
39,0,9,1,4,3,0,1,80,0,1
49,0,9,0,1,2,0,1,40,0,1
23,4,12,2,12,3,0,1,52,0,1
20,0,10,2,3,1,4,1,44,0,1
45,0,13,1,4,1,0,1,40,0,1
30,3,10,0,8,1,0,1,40,0,1
22,5,10,0,2,2,4,1,15,0,1
48,0,7,2,7,5,0,1,40,3,1
21,0,10,2,7,1,0,1,40,0,1
19,0,9,6,8,0,0,0,25,0,1
48,1,12,0,5,2,0,1,40,0,1
31,0,5,0,7,2,0,1,43,0,1
53,1,13,0,5,2,0,1,40,0,1
24,0,13,0,0,2,0,1,50,0,1
49,0,9,3,8,5,0,0,40,0,1
25,0,9,2,6,3,0,1,35,0,1
57,3,13,0,5,2,4,1,40,0,0
53,0,9,0,7,2,0,1,38,0,1
44,0,14,1,4,5,0,0,40,0,1
41,5,11,0,1,2,0,1,40,0,1
29,0,11,2,5,3,0,1,43,0,1
25,0,10,0,4,0,3,0,40,0,1
47,0,15,0,5,0,0,0,60,14,0
50,3,13,1,4,3,0,1,55,0,0
47,2,9,1,4,3,0,1,60,0,1
43,0,10,0,0,2,0,1,40,0,0
46,0,3,0,7,2,0,1,40,20,1
35,0,11,0,2,2,0,1,40,3,1
41,0,9,0,8,2,0,1,48,0,1
30,0,9,0,7,2,0,1,40,0,1
30,0,13,0,3,2,0,1,40,0,1
48,0,9,0,10,2,0,1,40,0,1
42,0,16,0,5,2,0,1,45,0,0
29,0,10,1,0,3,0,1,58,0,1
36,0,9,0,1,2,0,1,40,0,1
28,0,10,1,8,3,0,0,40,0,1
53,0,9,0,8,0,0,0,40,0,0
49,2,10,0,4,2,0,1,50,0,0
19,0,10,2,5,1,0,1,32,0,1
31,0,13,3,3,1,4,0,40,0,1
29,1,13,0,3,2,0,1,70,0,0
23,0,10,2,7,3,0,1,40,0,1
79,0,10,0,5,4,0,1,20,0,1
27,0,9,2,2,1,0,1,40,20,1
40,0,12,0,8,2,0,1,40,0,1
18,0,7,2,2,1,0,0,22,0,1
31,4,4,0,9,2,0,1,40,0,1
18,0,9,2,3,3,0,1,30,0,1
52,0,13,0,2,2,0,1,40,12,1
46,0,9,0,2,0,0,0,40,0,1
59,0,9,0,3,2,0,1,48,0,1
44,0,9,1,1,3,0,0,40,0,0
53,0,9,1,3,1,0,0,35,0,1
49,4,9,0,12,2,0,1,40,0,0
33,0,14,0,5,2,0,1,50,0,1
30,0,5,2,3,3,0,1,40,0,1
43,3,16,2,5,3,0,0,50,0,0
57,0,11,0,5,2,0,1,40,0,1
37,0,10,1,1,5,0,0,40,0,1
28,0,10,1,7,5,4,0,25,0,1
34,4,13,0,12,2,0,1,40,0,0
29,4,10,2,6,3,0,1,50,0,1
48,1,16,0,5,2,0,1,60,0,0
37,0,10,0,3,2,0,1,48,0,0
48,0,12,1,4,5,0,0,40,2,1
32,3,9,2,2,1,4,1,40,0,1
76,0,14,0,4,2,0,1,40,0,0
44,0,13,0,4,2,0,1,60,0,0
47,1,14,2,5,3,0,0,50,0,1
20,0,10,2,0,1,0,0,40,0,1
29,0,9,2,1,3,0,1,40,0,1
32,2,9,0,1,2,0,1,40,0,0
30,0,7,2,6,1,0,1,40,0,1
31,4,9,2,8,3,0,0,40,0,1
42,0,9,0,6,2,0,1,40,0,1
24,0,13,2,3,4,0,1,40,0,1
38,0,15,0,5,2,0,1,40,0,0
56,1,9,0,2,2,0,1,50,4,0
28,0,10,0,3,0,0,0,25,0,1
36,0,9,2,7,1,0,0,40,0,1
53,0,5,0,6,2,0,1,50,0,1
56,2,10,0,3,2,0,1,50,0,1
49,4,11,0,1,2,4,1,40,0,0
55,0,10,0,3,2,0,1,56,0,1
